,NAME_x,NAME_CLEAN,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,COUNTYCODE,COUNTYNAME,PHONE,EMP_MIN,EMP_MAX,EMPRANGECODE,NAICS,OWNERSHIP,year,NAME_y,Location ,Incentive_Type ,Term ,Projected_Jobs,Projected_New_State_Tax_Revenue_Over_Term ,Projected_Capital_Investment,Projected_New_State_Wages ,Maximum_Cap_Incentive
0,"1-800 CONTACTS, INC.",1-800 CONTACTS,13751 S WADSWORTH PARK DR,BUILDING A STE 110,DRAPER,UT,84020,35,Salt Lake,,250,499,H,454113,Private,2013,1-800 CONTACTS,DRAPER,EDTIF,15,654,"$35,205,239 ","$59,000,000 ","$455,652,989 ","$8,801,310 "
1,"1-800 CONTACTS, INC.",1-800 CONTACTS,,,,,,35,Salt Lake,,100,249,G,454113,Private,2013,1-800 CONTACTS,DRAPER,EDTIF,15,654,"$35,205,239 ","$59,000,000 ","$455,652,989 ","$8,801,310 "
2,"1-800 CONTACTS, INC.",1-800 CONTACTS,65 E WADSWORTH PARK DR,BUILDING A STE 110,DRAPER,UT,84020,35,Salt Lake,,1,4,B,454113,Private,2013,1-800 CONTACTS,DRAPER,EDTIF,15,654,"$35,205,239 ","$59,000,000 ","$455,652,989 ","$8,801,310 "
3,AIR LIQUIDE AMERICA SPECIALTY GASES,AIR LIQUIDE,1676 S 700 W,,SALT LAKE CITY,UT,841041610,35,Salt Lake,(713) 896-2237,1,4,B,325120,Private,2007,AIR LIQUIDE,SALT LAKE CITY,EDTIF,10,43,"$3,704,000 ","$21,000,000 ","$27,863,000 ","$1,111,000 "
4,AIR LIQUIDE ELECTRONICS US,AIR LIQUIDE,1676 S 700 W,,SALT LAKE CITY,UT,841041610,35,Salt Lake,(713) 896-2237,20,49,E,541611,Private,2007,AIR LIQUIDE,SALT LAKE CITY,EDTIF,10,43,"$3,704,000 ","$21,000,000 ","$27,863,000 ","$1,111,000 "
5,AIR LIQUIDE USA LLC,AIR LIQUIDE,11814 S ELECTION,,DRAPER,UT,84020,35,Salt Lake,(713) 896-2237,1,4,B,325120,Private,2007,AIR LIQUIDE,SALT LAKE CITY,EDTIF,10,43,"$3,704,000 ","$21,000,000 ","$27,863,000 ","$1,111,000 "
6,AIR PRODUCTS AND CHEMICALS INC OF U,AIR PRODUCTS,3808 S WEST TEMPLE,,SALT LAKE CITY,UT,84115,35,Salt Lake,(516) 877-2860,5,9,C,424690,Private,2011,AIR PRODUCTS,TOOELE,EDTIF,5.5,57,"$1,042,683 ","$40,000,000 ","$19,344,879 ","$208,500 "
7,AIRGAS DRY ICE,AIRGAS,1211 S PIONEER RD,,SALT LAKE CITY,UT,84104,35,Salt Lake,(866) 848-4623,10,19,D,424690,Private,2014,AIRGAS,TOOELE,EDTIF,10,25,"$533,260 ","$8,000,000 ","$1,475,181 ","$106,652 "
8,AIRGAS INC,AIRGAS,,,,,,35,Salt Lake,(866) 848-4623,1,4,B,425120,Private,2014,AIRGAS,TOOELE,EDTIF,10,25,"$533,260 ","$8,000,000 ","$1,475,181 ","$106,652 "
9,"AIRGAS USA, LLC",AIRGAS,2781 WEST 2100 SOUTH,,WEST VALLEY CITY,UT,84119,35,Salt Lake,,1,4,B,424690,Private,2014,AIRGAS,TOOELE,EDTIF,10,25,"$533,260 ","$8,000,000 ","$1,475,181 ","$106,652 "
10,"AIRGAS USA, LLC",AIRGAS,3415 S 700 W,,SALT LAKE CITY,UT,841194140,35,Salt Lake,(801) 262-4641,50,99,F,325120,Private,2014,AIRGAS,TOOELE,EDTIF,10,25,"$533,260 ","$8,000,000 ","$1,475,181 ","$106,652 "
11,"AIRGAS USA, LLC",AIRGAS,3415 S 700 W,,SALT LAKE CITY,UT,84119,35,Salt Lake,,1,4,B,424690,Private,2014,AIRGAS,TOOELE,EDTIF,10,25,"$533,260 ","$8,000,000 ","$1,475,181 ","$106,652 "
12,"AIRGAS USA, LLC",AIRGAS,525 N INDUSTRIAL LOOP,,TOOELE,UT,84074,35,Salt Lake,,10,19,D,424690,Private,2014,AIRGAS,TOOELE,EDTIF,10,25,"$533,260 ","$8,000,000 ","$1,475,181 ","$106,652 "
13,ALLSTATE,ALLSTATE CORPORATION,13937 S SPRAGUE LANE,,DRAPER,UT,84020,35,Salt Lake,,50,99,F,524126,Private,2014,ALLSTATE CORPORATION,OGDEN,EDTIF/TRAINING/EO,20,700,"$23,214,289 ","$15,000,000 ","$610,036,250 ","$5,803,572 "
14,ALLSTATE,ALLSTATE CORPORATION,,,,,,35,Salt Lake,,20,49,E,524126,Private,2014,ALLSTATE CORPORATION,OGDEN,EDTIF/TRAINING/EO,20,700,"$23,214,289 ","$15,000,000 ","$610,036,250 ","$5,803,572 "
15,ALLSTATE,ALLSTATE CORPORATION,9673 S 700 E,,SANDY,UT,840703557,35,Salt Lake,,0,,A,524126,Private,2014,ALLSTATE CORPORATION,OGDEN,EDTIF/TRAINING/EO,20,700,"$23,214,289 ","$15,000,000 ","$610,036,250 ","$5,803,572 "
16,ALLSTATE,ALLSTATE CORPORATION,261 E 300 S SUITE 325,,SALT LAKE CITY,UT,84111,35,Salt Lake,(801) 355-6744,1,4,B,524210,Private,2014,ALLSTATE CORPORATION,OGDEN,EDTIF/TRAINING/EO,20,700,"$23,214,289 ","$15,000,000 ","$610,036,250 ","$5,803,572 "
17,ALLSTATE,ALLSTATE CORPORATION,6056 S FASHION SQ DR,,MURRAY,UT,841077355,35,Salt Lake,(801) 262-2000,20,49,E,524126,Private,2014,ALLSTATE CORPORATION,OGDEN,EDTIF/TRAINING/EO,20,700,"$23,214,289 ","$15,000,000 ","$610,036,250 ","$5,803,572 "
18,ALLSTATE AUTO LLC,ALLSTATE CORPORATION,4100 S STATE ST,,SALT LAKE CITY,UT,841071513,35,Salt Lake,(801) 268-2227,5,9,C,441120,Private,2014,ALLSTATE CORPORATION,OGDEN,EDTIF/TRAINING/EO,20,700,"$23,214,289 ","$15,000,000 ","$610,036,250 ","$5,803,572 "
19,ATK SPACE SYSTEMS INC,ATK AEROSPACE STRUCTURES,8400 W 5000 S,,MAGNA,UT,84044,35,Salt Lake,,100,249,G,336415,Private,2009,ATK AEROSPACE STRUCTURES**,CLEARFIELD,EDTIF,20,848,"$109,108,187 ","$250,000,000 ","$1,664,771,288 ","$32,732,500 "
20,"BEIJER ELECTRONICS, INC.",BEIJER ELECTRONICS,1865 W 2100 S,,SALT LAKE CITY,UT,841192648,35,Salt Lake,(801) 708-6647,20,49,E,334118,Private,2014,BEIJER ELECTRONICS,SALT LAKE CITY,EDTIF,10,71,"$5,396,111 ","$600,000 ","$37,887,296 ","$1,079,222 "
21,"BIOFIRE DIAGNOSTICS, INC","BIOFIRE DIAGNOSTICS, INC",1630 S 4650 W,,SALT LAKE CITY,UT,84108,35,Salt Lake,,50,99,F,541711,Private,2013,"BIOFIRE DIAGNOSTICS, INC",SALT LAKE,EDTIF,20,657,"$97,747,955 ","$50,000,000 ","$718,135,774 ","$24,436,989 "
22,"BIOFIRE DIAGNOSTICS, INC","BIOFIRE DIAGNOSTICS, INC",420 CHIPETA WAY,,SALT LAKE CITY,UT,84108,35,Salt Lake,,100,249,G,541711,Private,2013,"BIOFIRE DIAGNOSTICS, INC",SALT LAKE,EDTIF,20,657,"$97,747,955 ","$50,000,000 ","$718,135,774 ","$24,436,989 "
23,"BIOFIRE DIAGNOSTICS, INC","BIOFIRE DIAGNOSTICS, INC",420 WAKARA WAY,,SALT LAKE CITY,UT,84108,35,Salt Lake,,20,49,E,541711,Private,2013,"BIOFIRE DIAGNOSTICS, INC",SALT LAKE,EDTIF,20,657,"$97,747,955 ","$50,000,000 ","$718,135,774 ","$24,436,989 "
24,"BIOFIRE DIAGNOSTICS, INC","BIOFIRE DIAGNOSTICS, INC",410 WAKARA WAY,,SALT LAKE CITY,UT,84109,35,Salt Lake,,100,249,G,541711,Private,2013,"BIOFIRE DIAGNOSTICS, INC",SALT LAKE,EDTIF,20,657,"$97,747,955 ","$50,000,000 ","$718,135,774 ","$24,436,989 "
25,"BIOFIRE DIAGNOSTICS, INC","BIOFIRE DIAGNOSTICS, INC",421 WAKARA WAY,,SALT LAKE CITY,UT,84108,35,Salt Lake,,20,49,E,541711,Private,2013,"BIOFIRE DIAGNOSTICS, INC",SALT LAKE,EDTIF,20,657,"$97,747,955 ","$50,000,000 ","$718,135,774 ","$24,436,989 "
26,"BIOFIRE DIAGNOSTICS, INC","BIOFIRE DIAGNOSTICS, INC",400 WAKARA WAY,,SALT LAKE CITY,UT,84108,35,Salt Lake,,250,499,H,541711,Private,2013,"BIOFIRE DIAGNOSTICS, INC",SALT LAKE,EDTIF,20,657,"$97,747,955 ","$50,000,000 ","$718,135,774 ","$24,436,989 "
27,"BIOFIRE DIAGNOSTICS, INC","BIOFIRE DIAGNOSTICS, INC",390 WAKARA WAY,,SALT LAKE CITY,UT,841081214,35,Salt Lake,,100,249,G,541711,Private,2013,"BIOFIRE DIAGNOSTICS, INC",SALT LAKE,EDTIF,20,657,"$97,747,955 ","$50,000,000 ","$718,135,774 ","$24,436,989 "
28,BLACK DIAMOND EQUIPMENT LTD,BLACK DIAMOND EQUIPMENT,1903 S 4650 W,,SALT LAKE CITY,UT,84101,35,Salt Lake,(801) 365-5577,20,49,E,493190,Private,2011,BLACK DIAMOND EQUIPMENT,LEHI,EDTIF,10,55,"$1,977,659 ", $-   ,"$32,765,324 ","$395,500 "
29,BLACK DIAMOND EQUIPMENT LTD,BLACK DIAMOND EQUIPMENT,2084 E 3900 S,,SALT LAKE CITY,UT,841241723,35,Salt Lake,(801) 278-5552,250,499,H,339920,Private,2011,BLACK DIAMOND EQUIPMENT,LEHI,EDTIF,10,55,"$1,977,659 ", $-   ,"$32,765,324 ","$395,500 "
30,BLU STATIONS,BLU,4752 W CALIFORNIA AVE,,SALT LAKE CITY,UT,84104,35,Salt Lake,,20,49,E,447190,Private,2013,BLU,SALT LAKE,EDTIF,7,73,"$2,312,681 ","$6,000,000 ","$49,263,500 ","$462,536 "
31,BOART LONGYEAR CO,BOART LONGYEAR,10808 S RIVERFRONT PARKWAY,SUITE 400,SOUTH JORDAN,UT,84095,35,Salt Lake,(385) 234-3824,50,99,F,333131,Private,2009,BOART LONGYEAR**,SALT LAKE CITY,EDTIF,10,200,"$12,144,430 ","$3,000,000 ","$222,535,427 ","$3,036,000 "
32,BOART LONGYEAR COMPANY,BOART LONGYEAR,2464 W 1500 SOUTH,,SALT LAKE CITY,UT,84104,35,Salt Lake,(801) 972-1395,100,249,G,333131,Private,2009,BOART LONGYEAR**,SALT LAKE CITY,EDTIF,10,200,"$12,144,430 ","$3,000,000 ","$222,535,427 ","$3,036,000 "
33,BOART LONGYEAR COMPANY,BOART LONGYEAR,2340 W 1700 SOUTH,,SALT LAKE CITY,UT,84104,35,Salt Lake,(801) 972-1493,250,499,H,213114,Private,2009,BOART LONGYEAR**,SALT LAKE CITY,EDTIF,10,200,"$12,144,430 ","$3,000,000 ","$222,535,427 ","$3,036,000 "
34,"CAPITAL ACCESS NETWORK , INC.",CAPITAL ACCESS NETWORKS,155 N 400 W STE 301,,SALT LAKE CITY,UT,841031111,35,Salt Lake,(855) 836-5805,1,4,B,551112,Private,2013,CAPITAL ACCESS NETWORKS,SALT LAKE CITY,EDTIF,7,108,"$8,113,435 ","$1,915,000 ","$38,460,168 ","$2,028,359 "
35,"CARDON HEALTHCARE NETWORK, INC.",CARDON HEALTHCARE NETWORK,172 E 14000 S BLDG E,,DRAPER,UT,84020,35,Salt Lake,(888) 805-5142,250,499,H,541219,Private,2014,CARDON HEALTHCARE NETWORK,SANDY,EDTIF/TRAINING,15,308,"$9,151,570 ","$5,300,000 ","$215,071,341 ","$1,830,314 "
36,CEMENTATION USA INC.,CEMENTATION,10150 CENTENNIAL PKWY STE 110,,SANDY,UT,84070,35,Salt Lake,(801) 937-4120,100,249,G,213113,Private,2008,CEMENTATION,SANDY,EDTIF,10,422,"$16,585,538 ","$5,500,000 ","$130,226,301 ","$3,317,000 "
37,"CZARNOWSKI DISPLAY SERVICE, INC.",CZARNOWSKI,,,,,,35,Salt Lake,(773) 247-1500,50,99,F,561920,Private,2011,CZARNOWSKI,ST. GEORGE,EDTIF/IAF,7,50,"$915,344 ","$7,000,000 ","$18,459,664 ","$137,300 "
38,"DANNON COMPANY, INC., THE",DANNON,6165 W DANNON WAY,,WEST JORDAN,UT,84088,35,Salt Lake,(801) 282-6110,100,249,G,311511,Private,2007,DANNON,WEST JORDAN,EDTIF,10,295,"$51,438,000 ","$175,000,000 ","$96,050,000 ","$8,350,000 "
39,"DISNEY INTERACTIVE STUDIOS, INC.",DISNEY INTERACTIVE,,,,,,35,Salt Lake,(516) 877-2860,1,4,B,541511,Private,2008,DISNEY INTERACTIVE,SALT LAKE CITY,EDTIF,10,565,"$16,989,000 ","$15,100,000 ","$330,678,000 ","$5,250,000 "
40,EBAY INC.,EBAY,,,DRAPER,UT,84020,35,Salt Lake,(408) 376-7053,1000,1999,J,454112,Private,2009,EBAY (CUSTOMER SERVICE)* (CY2012),DRAPER,EDTIF,10,200,"$6,879,345 ","$40,500,000 ","$70,106,217 ","$1,719,800 "
41,EBAY INC.,EBAY,,,DRAPER,UT,84020,35,Salt Lake,(408) 376-7053,1000,1999,J,454112,Private,2010,EBAY (CUSTOMER SERVICE) * (CY2012),DRAPER,EDTIF,10,207,"$8,512,554 ","$81,000,000 ","$61,375,816 ","$2,128,139 "
42,EBAY INC.,EBAY,,,DRAPER,UT,84020,35,Salt Lake,(408) 376-7053,1000,1999,J,454112,Private,2012,EBAY (CUSTOMER SERVICE) *,DRAPER,EDTIF,20,"2,200","$127,186,975 ","$80,000,000 ","$2,737,441,997 ","$38,156,092 "
43,EBAY UTAH,EBAY,583 WEST EBAY WAY,,DRAPER,UT,84020,35,Salt Lake,,20,49,E,722310,Private,2009,EBAY (CUSTOMER SERVICE)* (CY2012),DRAPER,EDTIF,10,200,"$6,879,345 ","$40,500,000 ","$70,106,217 ","$1,719,800 "
44,EBAY UTAH,EBAY,583 WEST EBAY WAY,,DRAPER,UT,84020,35,Salt Lake,,20,49,E,722310,Private,2010,EBAY (CUSTOMER SERVICE) * (CY2012),DRAPER,EDTIF,10,207,"$8,512,554 ","$81,000,000 ","$61,375,816 ","$2,128,139 "
45,EBAY UTAH,EBAY,583 WEST EBAY WAY,,DRAPER,UT,84020,35,Salt Lake,,20,49,E,722310,Private,2012,EBAY (CUSTOMER SERVICE) *,DRAPER,EDTIF,20,"2,200","$127,186,975 ","$80,000,000 ","$2,737,441,997 ","$38,156,092 "
46,EDWARDS LIFESCIENCES LLC,EDWARDS LIFESCIENCES,12050 LONE PEAK PKWY,,DRAPER,UT,840209414,35,Salt Lake,(949) 250-3815,500,999,I,339112,Private,2010,EDWARDS LIFESCIENCES,DRAPER,EDTIF/IAF,15,"1,300","$50,943,077 ","$14,500,000 ","$776,525,500 ","$10,381,000 "
47,EMC CORPORATION,EMC CORPORATION,11747 LONE PEAK PKWY,STE 200,DRAPER,UT,84020,35,Salt Lake,,100,249,G,541512,Private,2011,EMC CORPORATION* (CY2012),"W. VALLEY, DRAPER, AMERICAN FORK",EDTIF,10,500,"$12,476,673 ","$7,600,000 ","$313,600,626 ","$3,513,700 "
48,EMC CORPORATION,EMC CORPORATION,11747 LONE PEAK PKWY,STE 200,DRAPER,UT,84020,35,Salt Lake,,100,249,G,541512,Private,2012,EMC CORPORATION*,SALT LAKE,EDTIF,12,750,"$20,695,868 ","$4,000,000 ","$475,109,938 ","$5,173,967 "
49,EXETER FINANCE CORP.,EXETER FINANCE,10011 CENTENNIAL PKWY,STE 560,SANDY,UT,84070,35,Salt Lake,(801) 776-7682,100,249,G,522220,Private,2014,EXETER FINANCE,PROVO,EDTIF,10,550,"$11,388,221 ","$2,100,000 ","$259,944,118 ","$2,277,644 "
50,EXTRA SPACE STORAGE,EXTRA SPACE STORAGE,5572 SOUTH VAN WINKLE,,MURRAY,UT,84117,35,Salt Lake,,20,49,E,561422,Private,2006,EXTRA SPACE STORAGE,SALT LAKE CO.,EDTIF,10,90,"$3,233,000 ", $-   ,"$67,400,000 ","$1,000,000 "
51,EXTRA SPACE STORAGE,EXTRA SPACE STORAGE,,,,,,35,Salt Lake,(888) 805-5142,5,9,C,531130,Private,2006,EXTRA SPACE STORAGE,SALT LAKE CO.,EDTIF,10,90,"$3,233,000 ", $-   ,"$67,400,000 ","$1,000,000 "
52,EXTRA SPC STORAGE,EXTRA SPACE STORAGE,8308 S 700 E,,SANDY,UT,84070,35,Salt Lake,,1,4,B,531130,Private,2006,EXTRA SPACE STORAGE,SALT LAKE CO.,EDTIF,10,90,"$3,233,000 ", $-   ,"$67,400,000 ","$1,000,000 "
53,EXTRA SPC STORAGE,EXTRA SPACE STORAGE,9741 S 700 E,,SANDY,UT,840703553,35,Salt Lake,,1,4,B,531130,Private,2006,EXTRA SPACE STORAGE,SALT LAKE CO.,EDTIF,10,90,"$3,233,000 ", $-   ,"$67,400,000 ","$1,000,000 "
54,EXTRA SPC STORAGE,EXTRA SPACE STORAGE,6384 S  COTTONWOOD ST,,MURRAY,UT,84107,35,Salt Lake,,1,4,B,531130,Private,2006,EXTRA SPACE STORAGE,SALT LAKE CO.,EDTIF,10,90,"$3,233,000 ", $-   ,"$67,400,000 ","$1,000,000 "
55,EXTRA SPC STORAGE,EXTRA SPACE STORAGE,1150 S 5TH W,,SALT LAKE CITY,UT,84101,35,Salt Lake,,1,4,B,531130,Private,2006,EXTRA SPACE STORAGE,SALT LAKE CO.,EDTIF,10,90,"$3,233,000 ", $-   ,"$67,400,000 ","$1,000,000 "
56,EXTRA SPC STORAGE,EXTRA SPACE STORAGE,5882 S 900 E,,SALT LAKE CITY,UT,84121,35,Salt Lake,,1,4,B,531130,Private,2006,EXTRA SPACE STORAGE,SALT LAKE CO.,EDTIF,10,90,"$3,233,000 ", $-   ,"$67,400,000 ","$1,000,000 "
57,EXTRA SPC STORAGE,EXTRA SPACE STORAGE,2170 E 3300 S,,SALT LAKE CITY,UT,84109,35,Salt Lake,,1,4,B,531130,Private,2006,EXTRA SPACE STORAGE,SALT LAKE CO.,EDTIF,10,90,"$3,233,000 ", $-   ,"$67,400,000 ","$1,000,000 "
58,EXTRA SPC STORAGE,EXTRA SPACE STORAGE,5882 S 900 E,,SALT LAKE CITY,UT,84121,35,Salt Lake,,1,4,B,531130,Private,2006,EXTRA SPACE STORAGE,SALT LAKE CO.,EDTIF,10,90,"$3,233,000 ", $-   ,"$67,400,000 ","$1,000,000 "
59,EXTRA SPC STORAGE,EXTRA SPACE STORAGE,5520 S 3915 W,,SALT LAKE CITY,UT,841293900,35,Salt Lake,,1,4,B,531130,Private,2006,EXTRA SPACE STORAGE,SALT LAKE CO.,EDTIF,10,90,"$3,233,000 ", $-   ,"$67,400,000 ","$1,000,000 "
60,EXTRA SPC STORAGE,EXTRA SPACE STORAGE,2795 E COTTONWOOD PKWY,,SALT LAKE CITY,UT,841217033,35,Salt Lake,,250,499,H,551114,Private,2006,EXTRA SPACE STORAGE,SALT LAKE CO.,EDTIF,10,90,"$3,233,000 ", $-   ,"$67,400,000 ","$1,000,000 "
61,EXTRA SPC STORAGE,EXTRA SPACE STORAGE,7210 S REDWOOD RD,,WEST JORDAN,UT,840843425,35,Salt Lake,,1,4,B,531130,Private,2006,EXTRA SPACE STORAGE,SALT LAKE CO.,EDTIF,10,90,"$3,233,000 ", $-   ,"$67,400,000 ","$1,000,000 "
62,EXTRA SPC STORAGE,EXTRA SPACE STORAGE,4537 W 3500 S,,SALT LAKE CITY,UT,84120,35,Salt Lake,,1,4,B,531130,Private,2006,EXTRA SPACE STORAGE,SALT LAKE CO.,EDTIF,10,90,"$3,233,000 ", $-   ,"$67,400,000 ","$1,000,000 "
63,EXTRA SPC STORAGE,EXTRA SPACE STORAGE,10876 S RIVERFRONT PKWY,,SOUTH JORDAN,UT,84095,35,Salt Lake,,50,99,F,561422,Private,2006,EXTRA SPACE STORAGE,SALT LAKE CO.,EDTIF,10,90,"$3,233,000 ", $-   ,"$67,400,000 ","$1,000,000 "
64,EXTRA SPC STORAGE,EXTRA SPACE STORAGE,1740 W 6020 S,,TAYLORSVILLE,UT,84129,35,Salt Lake,,1,4,B,531130,Private,2006,EXTRA SPACE STORAGE,SALT LAKE CO.,EDTIF,10,90,"$3,233,000 ", $-   ,"$67,400,000 ","$1,000,000 "
65,FAIRCHILD SEMICONDUCTOR CORPORATION,FAIRCHILD SEMICONDUCTOR,3333 W 9000 S,,WEST JORDAN,UT,84088,35,Salt Lake,(207) 761-6495,1,4,B,334413,Private,2010,FAIRCHILD SEMICONDUCTOR,WEST JORDAN,EDTIF/IAF,4,538,"$5,374,453 ","$49,500,000 ","$122,053,164 ","$86,700 "
66,FAMILY DOLLAR  INC,FAMILY DOLLAR,2755 S STATE ST,,SALT LAKE CITY,UT,84115,35,Salt Lake,,5,9,C,452990,Private,2012,FAMILY DOLLAR,ST. GEORGE,EDTIF,20,450,"$15,058,314 ","$90,000,000 ","$297,464,933 ","$3,764,578 "
67,FAMILY DOLLAR  INC,FAMILY DOLLAR,4653 W 6200 S,,SALT LAKE CITY,UT,84118,35,Salt Lake,,5,9,C,452990,Private,2012,FAMILY DOLLAR,ST. GEORGE,EDTIF,20,450,"$15,058,314 ","$90,000,000 ","$297,464,933 ","$3,764,578 "
68,FAMILY DOLLAR  INC,FAMILY DOLLAR,50 N 9TH W,,SALT LAKE CITY,UT,84116,35,Salt Lake,,5,9,C,452990,Private,2012,FAMILY DOLLAR,ST. GEORGE,EDTIF,20,450,"$15,058,314 ","$90,000,000 ","$297,464,933 ","$3,764,578 "
69,FAMILY DOLLAR  INC,FAMILY DOLLAR,70 E 3750 S,,SALT LAKE CITY,UT,84115,35,Salt Lake,(801) 268-3343,5,9,C,452990,Private,2012,FAMILY DOLLAR,ST. GEORGE,EDTIF,20,450,"$15,058,314 ","$90,000,000 ","$297,464,933 ","$3,764,578 "
70,FAMILY DOLLAR  INC,FAMILY DOLLAR,855 S STATE ST,,SALT LAKE CITY,UT,84111,35,Salt Lake,,5,9,C,452990,Private,2012,FAMILY DOLLAR,ST. GEORGE,EDTIF,20,450,"$15,058,314 ","$90,000,000 ","$297,464,933 ","$3,764,578 "
71,FAMILY DOLLAR  INC,FAMILY DOLLAR,1649 W 4200 S,,TAYLORSVILLE,UT,84123,35,Salt Lake,,5,9,C,452990,Private,2012,FAMILY DOLLAR,ST. GEORGE,EDTIF,20,450,"$15,058,314 ","$90,000,000 ","$297,464,933 ","$3,764,578 "
72,FAMILY DOLLAR  INC,FAMILY DOLLAR,3530 W 3100 S,,WEST VALLEY CITY,UT,84119,35,Salt Lake,(801) 589-8666,5,9,C,452990,Private,2012,FAMILY DOLLAR,ST. GEORGE,EDTIF,20,450,"$15,058,314 ","$90,000,000 ","$297,464,933 ","$3,764,578 "
